record_id,label,window_start_utc,window_end_utc,ip_version,src_ip,dst_ip,src_port,dst_port,transport,app_proto,direction,duration_ms,packets,bytes,pkts_per_s,bytes_per_s,tcp_syn,tcp_ack,tcp_fin,tcp_rst,ipv6_flow_label,ipv6_next_header,ipv6_hop_limit,ipv6_ext_hdr_count,ipv6_fragment_count,icmpv6_nd_msgs,payload_entropy
R0000019,Benign,2026-01-01T20:46:21+00:00,2026-01-01T20:46:22.128000+00:00,6,2001:db8:1:fff9:ee42:5ee:a52f:c3ec,2001:db8:12a:b7b2:8e0e:c033:2c59:1da8,19953,445,UDP,SMB,outbound,1128.383,18,3442,15.95203653961809,3050.3838760758595,0,0,0,0,112430,17,125,0,0,1,6.602794310936099
R0000020,Benign,2026-01-01T11:43:43+00:00,2026-01-01T11:43:43.114000+00:00,6,2001:db8:1:624a:d0b1:fde0:31f3:f0c0,2001:db8:181:6462:8fc3:d7d3:f6bd:80c7,0,123,ICMPv6,OTHER,outbound,114.244,15,7641,131.29824785109062,66883.32745534556,0,0,0,0,930824,58,61,1,1,2,4.633702270397229
R0000021,Benign,2026-01-01T12:15:33+00:00,2026-01-01T12:15:33.441000+00:00,6,2001:db8:14a:c667:3874:9f3c:c2d4:9b56,2001:db8:1:398f:465c:c2cb:85e:b489,19942,3389,TCP,RDP,inbound,441.283,6,360,13.596719081509217,815.8031448905531,3,3,0,0,1038747,6,128,0,1,2,4.137696286273895
R0000022,Benign,2026-01-01T17:39:49+00:00,2026-01-01T17:39:49.617000+00:00,6,2001:db8:1fd:ab34:d2c2:a960:8b09:1ab,2001:db8:1:d296:8ac3:5ac4:5dea:a737,50831,443,TCP,HTTPS,inbound,617.842,5,438,8.09268044069706,708.9188066050625,1,4,1,0,891614,6,66,2,1,2,3.969135683566045
R0000023,Benign,2026-01-01T20:39:54+00:00,2026-01-01T20:39:54.094000+00:00,6,2001:db8:108:4040:ffd2:f491:dff3:89aa,2001:db8:1:593c:4347:dbca:7321:a8b2,29798,80,UDP,HTTP,inbound,94.942,11,1450,115.8603356720635,15272.498793135643,0,0,0,0,735326,17,130,0,0,0,3.9630492891219182
R0000024,Benign,2026-01-01T23:29:45+00:00,2026-01-01T23:29:45.122000+00:00,6,2001:db8:1:c8eb:23a4:e70e:9dbc:15c0,2001:db8:134:fa32:d043:7e4c:34e5:699,38384,443,UDP,HTTPS,outbound,122.927,15,2030,122.02383955838214,16513.892953567716,0,0,0,0,678750,17,64,1,1,2,5.546448209496976
R0000025,Benign,2026-01-01T20:47:09+00:00,2026-01-01T20:47:09.218000+00:00,6,2001:db8:1:83b0:dba6:fdf8:f3d0:4ffb,2001:db8:1ad:e68f:e670:93a0:fc48:f615,9909,80,TCP,HTTP,outbound,218.761,12,1619,54.85449741647665,7400.785943106308,3,9,1,0,266103,6,125,1,0,1,7.065774511144757
R0000026,Benign,2026-01-01T15:12:25+00:00,2026-01-01T15:12:25.617000+00:00,6,2001:db8:1:c2ef:3f5f:bf4f:d417:6230,2001:db8:164:8809:ad1d:b537:d7f3:4368,10341,445,TCP,SMB,outbound,617.976,4,762,6.472743232303711,1233.057585753857,1,3,0,0,947895,6,67,2,1,2,4.37931768164829
R0000027,Benign,2026-01-01T17:32:32+00:00,2026-01-01T17:32:32.845000+00:00,6,2001:db8:147:39cc:bff3:c8d:83ff:3e96,2001:db8:1:e097:efb3:b939:b1d8:1887,30822,110,UDP,POP3,inbound,845.437,45,4166,53.226884942348725,4927.626725996107,0,0,0,0,195332,17,61,1,1,2,4.310485570374476
R0000028,Benign,2026-01-01T13:08:07+00:00,2026-01-01T13:08:07.193000+00:00,6,2001:db8:1:1036:d9a0:9007:5bb4:7c18,2001:db8:165:d0b5:88d0:abd:cbb1:8c79,64471,22,TCP,SSH,outbound,193.595,9,1256,46.48869258405462,6487.755320619178,2,7,1,0,594737,6,64,1,0,1,6.027183249036024
R0000029,Benign,2026-01-01T10:57:23+00:00,2026-01-01T10:57:23.317000+00:00,6,2001:db8:1:e4e7:57ff:51d9:c9ce:44bd,2001:db8:1:c64:c323:1466:aebb:b90e,7549,443,TCP,HTTPS,lateral,317.923,87,14822,273.6512669917482,46621.368728180365,2,85,2,1,331315,6,61,2,1,0,4.129107501938888
R0000030,Benign,2026-01-01T01:58:41+00:00,2026-01-01T01:58:41.622000+00:00,6,2001:db8:1:e8ce:b047:8ea4:fee5:ce69,2001:db8:1a6:6637:e1d4:6f82:21c5:e41,0,25,ICMPv6,OTHER,outbound,622.8,8,1449,12.845218577276972,2326.5902148092914,0,0,0,0,525104,58,129,0,1,0,5.127171087343127
R0000031,Benign,2026-01-01T11:26:36+00:00,2026-01-01T11:26:36.188000+00:00,6,2001:db8:1:a027:6576:a410:d41:ee47,2001:db8:1b3:e96:b9da:5f8c:4e35:da80,29154,22,UDP,SSH,outbound,188.272,2,160,10.622950539488446,849.8360431590758,0,0,0,0,447576,17,66,2,0,2,5.414093744130204
R0000032,Benign,2026-01-01T17:32:17+00:00,2026-01-01T17:32:17.131000+00:00,6,2001:db8:102:60a1:71ef:e72a:ae13:591e,2001:db8:1:57f4:b212:a6ee:210:6371,57407,80,TCP,HTTP,inbound,131.477,11,1583,83.66455847374881,12040.090551267669,1,10,1,2,803355,6,61,1,0,1,5.353725105945528
R0000033,Benign,2026-01-01T15:36:01+00:00,2026-01-01T15:36:01.425000+00:00,6,2001:db8:123:1ae7:4c9b:ff5c:e188:7eaf,2001:db8:1:d038:c601:818b:61fa:1ba,43070,53,TCP,DNS,inbound,425.127,3,423,7.056715531219438,994.9968899019408,3,0,0,0,17772,6,65,2,0,0,6.283051243175278
R0000034,Benign,2026-01-01T17:31:12+00:00,2026-01-01T17:31:13.041000+00:00,6,2001:db8:1:26c0:bf8e:8bfa:a0c9:da72,2001:db8:19d:b728:6965:d1d1:eb7e:2e64,30016,123,TCP,NTP,outbound,1041.505,15,2363,14.402238318004757,2268.8326096963497,3,12,1,0,258279,6,65,0,0,0,8.0
R0000035,Exploits,2026-01-01T21:01:11+00:00,2026-01-01T21:01:11.580000+00:00,6,2001:db8:13f:6eed:23cb:e943:ca84:3,2001:db8:1:1591:a505:da9c:46e7:5a2c,37291,445,TCP,SMB,inbound,580.101,16,1410,27.581426421041066,2430.613203354244,3,13,0,0,56254,6,130,5,10,1,5.227174785462428
R0000036,Benign,2026-01-01T21:19:45+00:00,2026-01-01T21:19:45.325000+00:00,6,2001:db8:1:6449:bf72:ae52:304b:2370,2001:db8:10d:f83e:a56b:61e0:4ba8:a4ca,33456,22,TCP,SSH,outbound,325.989,63,3780,193.25812903358573,11595.487742015144,3,60,0,0,148922,6,66,1,0,0,3.5872841288103485
R0000037,Benign,2026-01-01T14:05:48+00:00,2026-01-01T14:05:48.263000+00:00,6,2001:db8:163:7d4:21c9:a15d:5104:5a16,2001:db8:1:9181:d6c6:f45c:dc5e:4e78,24971,143,TCP,IMAP,inbound,263.818,23,2645,87.18115316464582,10025.83261393427,1,22,1,0,153074,6,251,2,0,1,4.484696290740032
R0000038,Benign,2026-01-01T12:52:39+00:00,2026-01-01T12:52:39.743000+00:00,6,2001:db8:1f2:dcb1:f7a:e302:ec2e:2815,2001:db8:1:81b1:65e1:b0f5:ca0e:e8c4,42218,25,TCP,SMTP,inbound,743.7,10,696,13.446278790749984,935.861003836199,3,7,1,1,172863,6,134,2,1,1,5.833919022318011
R0000039,Benign,2026-01-01T07:26:38+00:00,2026-01-01T07:26:38.065000+00:00,6,2001:db8:182:e4dd:143a:c1c5:4f56:ed5,2001:db8:1:f96c:3404:c02a:ebc1:bb52,36176,53,UDP,DNS,inbound,65.194,11,761,168.726469456532,11672.803932401896,0,0,0,0,138653,17,130,1,1,2,4.4074792615673
R0000040,Benign,2026-01-01T00:18:14+00:00,2026-01-01T00:18:14.363000+00:00,6,2001:db8:1:3e96:ed2:ec9d:3d17:5712,2001:db8:1:6f3a:ecb4:678c:1612:aa6,30736,80,TCP,HTTP,lateral,363.848,14,2821,38.47756737591731,7753.229826247339,1,13,0,0,368356,6,124,2,0,1,4.865498764159052
R0000041,Benign,2026-01-01T21:16:26+00:00,2026-01-01T21:16:27.976000+00:00,6,2001:db8:158:c1aa:f3f8:dea4:7f14:eafa,2001:db8:1:c871:8468:b74d:85e3:ade5,11966,25,TCP,SMTP,inbound,1976.156,13,780,6.578428060331209,394.70568361987256,3,10,0,0,563639,6,130,1,0,2,7.322156197012633
R0000042,Benign,2026-01-01T11:59:26+00:00,2026-01-01T11:59:27.021000+00:00,6,2001:db8:145:a085:6de8:370a:ce9e:9ebd,2001:db8:1:4350:1059:ea28:861b:4f5b,42149,8080,UDP,HTTP-ALT,inbound,1021.695,27,1808,26.426661622789265,1769.6075634815923,0,0,0,0,116264,17,65,0,1,1,5.974634053429337
R0000043,Benign,2026-01-01T01:06:12+00:00,2026-01-01T01:06:12.175000+00:00,6,2001:db8:11a:57f9:c5f8:e2f8:414f:4994,2001:db8:1:ac93:92eb:eab0:e4ee:c67c,15992,80,TCP,HTTP,inbound,175.171,9,540,51.378370717576374,3082.7022430545826,1,8,0,0,25769,6,124,2,0,0,4.94743184860684
R0000044,Benign,2026-01-01T19:49:26+00:00,2026-01-01T19:49:26.131000+00:00,6,2001:db8:1:f5d8:ee60:81ac:2dd0:622e,2001:db8:1:8d88:90d:9655:db84:2660,28507,123,TCP,NTP,lateral,131.236,7,843,53.33913446161337,6423.555764448581,2,5,0,0,670952,6,68,0,1,0,3.764137848820561
R0000045,Benign,2026-01-01T07:51:18+00:00,2026-01-01T07:51:18.166000+00:00,6,2001:db8:10d:7bec:e6e5:9b32:ac5f:12ef,2001:db8:1:cde9:3922:a7e4:2de9:82f8,65341,3389,TCP,RDP,inbound,166.774,14,1769,83.94571958400527,10607.14128172181,2,12,2,0,592040,6,126,0,1,0,5.269802084990019
R0000046,Benign,2026-01-01T21:36:38+00:00,2026-01-01T21:36:38.285000+00:00,6,2001:db8:190:55a3:4aa5:f9d3:335f:2f59,2001:db8:1:bd54:4dcd:9:c8d5:7717,16921,8080,TCP,HTTP-ALT,inbound,285.208,35,2100,122.71757508021759,7363.054504813055,3,32,2,0,409830,6,255,1,1,2,3.247912200477498
R0000047,Benign,2026-01-01T20:22:34+00:00,2026-01-01T20:22:34.519000+00:00,6,2001:db8:168:f820:eeb1:9ad2:1a1:fb0f,2001:db8:1:8aa2:3ba5:bd76:61e:fb95,42701,110,UDP,POP3,inbound,519.513,6,570,11.549268102934239,1097.1804697787527,0,0,0,0,789105,17,62,2,0,1,4.610635243055789
R0000048,Benign,2026-01-01T21:32:05+00:00,2026-01-01T21:32:05.866000+00:00,6,2001:db8:13c:f88d:fbad:793f:87a1:ec02,2001:db8:1:f610:7df5:9abf:6b79:d01,64761,443,UDP,HTTPS,inbound,866.656,13,879,15.00018822151902,1014.2434959011706,0,0,0,0,485433,17,66,0,1,0,5.507299520876609
R0000049,Benign,2026-01-01T15:53:55+00:00,2026-01-01T15:53:55.838000+00:00,6,2001:db8:1:f97c:755d:814b:5f5b:a255,2001:db8:194:ad62:15bc:2a3e:bf76:55d7,34147,80,TCP,HTTP,outbound,838.468,16,984,19.082431485863992,1173.5695363806356,2,14,3,0,130616,6,62,0,1,0,5.947293605123262
R0000050,Benign,2026-01-01T18:43:06+00:00,2026-01-01T18:43:06.698000+00:00,6,2001:db8:1ed:1115:50a4:6c85:d9d5:7b02,2001:db8:1:b362:6498:8bde:cd02:54db,21868,110,TCP,POP3,inbound,698.778,27,1962,38.63887546686233,2807.7582839253296,1,26,1,0,425119,6,65,1,1,0,4.9978073475661065
R0000051,Benign,2026-01-01T03:46:57+00:00,2026-01-01T03:46:57.847000+00:00,6,2001:db8:177:4f63:7316:ce64:2a14:7a96,2001:db8:1:1ee8:6811:34e2:5064:7c59,24504,3389,TCP,RDP,inbound,847.995,19,5209,22.405793057410346,6142.7250545289735,1,18,0,0,251476,6,64,0,1,1,5.8819529712949645
R0000052,Exploits,2026-01-01T01:10:29+00:00,2026-01-01T01:10:29.210000+00:00,6,2001:db8:1:a53:9a72:83c:b266:986c,2001:db8:1db:4862:d5ff:2a1f:370b:9a29,10744,123,TCP,NTP,outbound,210.985,12,1204,56.876106614774734,5706.569363682398,3,9,1,0,830984,6,255,1,12,0,6.595157025436913
R0000053,Benign,2026-01-01T00:17:13+00:00,2026-01-01T00:17:13.163000+00:00,6,2001:db8:1:f3bc:7f4:fee5:2c82:989f,2001:db8:173:c374:dac7:26b6:6786:3fb3,50050,3389,TCP,RDP,outbound,163.136,3,741,18.389561815357617,4542.221768393331,1,2,0,0,293167,6,66,2,0,0,5.824119817052155
R0000054,Benign,2026-01-01T00:31:23+00:00,2026-01-01T00:31:23.710000+00:00,6,2001:db8:1:d2dc:32b8:d8aa:2176:8dd7,2001:db8:1:afb0:5f4b:1a97:668c:879b,62468,123,UDP,NTP,lateral,710.175,10,684,14.08104284436833,963.1433305547938,0,0,0,0,157259,17,66,2,0,2,5.052942618497862
R0000055,Benign,2026-01-01T09:28:47+00:00,2026-01-01T09:28:47.191000+00:00,6,2001:db8:1:20f8:cf2e:3296:7184:b713,2001:db8:1:d8e7:e7b3:3085:178b:e968,9053,110,TCP,POP3,lateral,191.915,7,1027,36.47448245048121,5351.3276395206,3,4,0,0,908394,6,62,0,1,0,4.377779604433568
R0000056,Benign,2026-01-01T07:04:57+00:00,2026-01-01T07:04:57.502000+00:00,6,2001:db8:1:36f7:5a9c:679:2c3d:17e2,2001:db8:146:6534:2fe9:22aa:e886:a011,30253,25,TCP,SMTP,outbound,502.361,6,776,11.943608214925439,1544.70666246369,3,3,1,1,515448,6,59,0,0,2,3.792536225623445
R0000057,Benign,2026-01-01T18:45:57+00:00,2026-01-01T18:45:57.211000+00:00,6,2001:db8:1:479f:1674:eb65:f9c:5300,2001:db8:16b:52f9:2321:e64e:620d:4a1f,43140,22,TCP,SSH,outbound,211.326,8,1093,37.85626998969694,5172.112887342344,2,6,0,0,40957,6,255,2,0,2,6.05765962320202
R0000058,Benign,2026-01-01T01:24:22+00:00,2026-01-01T01:24:22.349000+00:00,6,2001:db8:1:e9a5:5812:9eb2:7c13:f47a,2001:db8:152:54aa:809c:d839:90ce:82e8,18747,143,TCP,IMAP,outbound,349.343,9,808,25.76261817463263,2312.9106094559074,2,7,1,0,61453,6,64,0,0,1,4.3727690564476775
R0000059,Benign,2026-01-01T18:20:13+00:00,2026-01-01T18:20:13.365000+00:00,6,2001:db8:1:ffe6:9580:4c2a:c44f:c4b8,2001:db8:128:dd2b:f956:be95:3b96:4c74,0,80,ICMPv6,OTHER,outbound,365.811,13,2317,35.537510415251255,6333.8778178567045,0,0,0,0,117248,58,62,0,0,1,5.424092481810417
R0000060,Benign,2026-01-01T16:52:58+00:00,2026-01-01T16:52:58.408000+00:00,6,2001:db8:1:636f:cc21:cbdb:fb8f:e8c4,2001:db8:1d6:d744:ef69:a980:5ad4:79ef,12564,53,UDP,DNS,outbound,408.027,10,640,24.50818666366653,1568.523946474658,0,0,0,0,59153,17,128,0,1,2,5.69799829124545
R0000061,Benign,2026-01-01T14:26:23+00:00,2026-01-01T14:26:24.489000+00:00,6,2001:db8:1:f2c8:9027:e770:2460:d0d2,2001:db8:1fc:edf9:d631:c383:3030:14d0,36552,445,TCP,SMB,outbound,1489.252,21,10422,14.10103881777877,6998.144121851921,1,20,0,0,117792,6,61,1,0,1,6.072320636720678
R0000062,Benign,2026-01-01T20:18:55+00:00,2026-01-01T20:18:55.475000+00:00,6,2001:db8:1:9d37:eafb:3e90:54ec:84ce,2001:db8:121:67c3:ce73:34f2:3393:2b6c,48009,110,TCP,POP3,outbound,475.805,57,3559,119.79701174257417,7479.9572770495,1,56,0,0,297067,6,61,0,1,0,4.600607354555978
R0000063,Benign,2026-01-01T19:00:15+00:00,2026-01-01T19:00:15.203000+00:00,6,2001:db8:1:f121:b45c:9a54:5fa3:a531,2001:db8:1:9605:6545:c030:a981:fa54,23080,80,UDP,HTTP,lateral,203.727,11,1536,53.993838984677055,7539.503334587633,0,0,0,0,916179,17,255,1,1,0,6.15042383818605
R0000064,Benign,2026-01-01T09:04:52+00:00,2026-01-01T09:04:52.240000+00:00,6,2001:db8:1:f7ff:b509:f08a:2c98:8bca,2001:db8:1e3:bcd6:b18d:2c8c:8fdd:bebc,0,8080,ICMPv6,OTHER,outbound,240.035,4,620,16.664203739300834,2582.9515795916295,0,0,0,0,367739,58,60,1,0,2,7.031458765854354
R0000065,Benign,2026-01-01T15:21:05+00:00,2026-01-01T15:21:06.166000+00:00,6,2001:db8:100:75d3:ba94:aa66:2d7e:4a45,2001:db8:1:f2dd:b3b6:d344:f2e3:c6f0,26687,8080,UDP,HTTP-ALT,inbound,1166.189,6,360,5.14496537568149,308.6979225408894,0,0,0,0,463250,17,68,2,0,0,5.085460154747382
R0000066,Benign,2026-01-01T00:16:24+00:00,2026-01-01T00:16:25.229000+00:00,6,2001:db8:1:13eb:bece:d21a:54c7:743b,2001:db8:1fb:7d3b:58c8:8c48:3ced:4d1f,12026,110,TCP,POP3,outbound,1229.097,2,144,1.6272114432490739,117.15922391393332,2,0,0,0,704117,6,128,2,0,2,5.246980593764742
R0000067,Benign,2026-01-01T08:25:46+00:00,2026-01-01T08:25:46.269000+00:00,6,2001:db8:1:c97a:41b4:55b8:59b9:222c,2001:db8:100:53f6:b86d:66b:1ba8:27c6,26316,443,TCP,HTTPS,outbound,269.062,16,960,59.46589325271557,3567.953595162934,2,14,0,0,1034067,6,127,1,1,0,5.3202956317118995
R0000068,Benign,2026-01-01T22:50:23+00:00,2026-01-01T22:50:23.640000+00:00,6,2001:db8:1:93fb:dd32:6d9c:c9ea:356a,2001:db8:1af:e9be:c21c:3fb3:a6a5:f0ff,11683,22,TCP,SSH,outbound,640.978,2,537,3.1202324707118385,837.7824183861287,2,0,0,0,668397,6,64,1,0,0,4.451513463443447
R0000069,Benign,2026-01-01T21:21:14+00:00,2026-01-01T21:21:15.166000+00:00,6,2001:db8:1bb:635f:2931:971:601e:211,2001:db8:1:f11c:8c0b:393a:1333:5bc9,23171,80,TCP,HTTP,inbound,1166.039,10,4652,8.57604546998929,3989.5763526390183,3,7,0,0,346024,6,69,2,1,2,4.951035851520927
R0000070,Benign,2026-01-01T13:43:20+00:00,2026-01-01T13:43:20.967000+00:00,6,2001:db8:130:a2ce:f972:2cc1:349e:f4a9,2001:db8:1:8dda:b27b:7bb4:68c6:90b2,18408,3389,TCP,RDP,inbound,967.208,16,4585,16.542455640666166,4740.447444528399,2,14,0,0,104093,6,61,2,1,1,5.8860514599984395
R0000071,Benign,2026-01-01T04:05:59+00:00,2026-01-01T04:06:00.045000+00:00,6,2001:db8:16d:7795:fa:eb4:5c5f:48d4,2001:db8:1:d2ea:4b67:97a1:166e:cfe3,41989,123,UDP,NTP,inbound,1045.847,2,120,1.9123262279301938,114.73957367581163,0,0,0,0,434011,17,57,2,1,0,4.930593165555442
R0000072,Benign,2026-01-01T08:54:16+00:00,2026-01-01T08:54:16.769000+00:00,6,2001:db8:14e:f03f:1d91:fe39:d801:4004,2001:db8:1:788f:65c0:6b93:c8ed:abdd,59670,445,TCP,SMB,inbound,769.536,33,3821,42.8829714069293,4965.328295329602,1,32,1,1,812703,6,132,2,1,0,3.8198985417851086
R0000073,Benign,2026-01-01T08:15:03+00:00,2026-01-01T08:15:03.087000+00:00,6,2001:db8:170:92d4:4367:5d58:b6c:3c8,2001:db8:1:39eb:436e:3c49:770e:9db,38002,25,TCP,SMTP,inbound,87.091,9,1294,103.33995131436286,14857.988555642838,3,6,1,0,179741,6,127,0,0,2,3.1325578999601236
R0000074,Benign,2026-01-01T01:53:41+00:00,2026-01-01T01:53:41.372000+00:00,6,2001:db8:1:8db8:3a3e:46b0:96f8:4ff7,2001:db8:1:6319:d73e:7bb9:f9c:a17b,28459,3389,TCP,RDP,lateral,372.334,13,780,34.91486507847706,2094.8919047086233,2,11,1,0,998794,6,126,2,1,2,4.140786478111049
R0000075,Benign,2026-01-01T04:08:56+00:00,2026-01-01T04:08:56.166000+00:00,6,2001:db8:1:e684:923b:7820:8089:b8c5,2001:db8:192:4cde:ccea:5031:844e:250b,65429,123,UDP,NTP,outbound,166.143,14,1061,84.26495410688366,6386.079736243111,0,0,0,0,941704,17,125,2,0,0,5.0929696400454425
R0000076,Benign,2026-01-01T07:40:26+00:00,2026-01-01T07:40:26.158000+00:00,6,2001:db8:1:204d:3156:7f2a:cef7:4829,2001:db8:1:140f:6c62:4c2c:aec:cec7,0,123,ICMPv6,OTHER,lateral,158.901,6,360,37.75933909666991,2265.5603458001947,0,0,0,0,540826,58,69,1,0,2,5.2352635519717285
R0000077,Benign,2026-01-01T02:42:01+00:00,2026-01-01T02:42:01.214000+00:00,6,2001:db8:1:8e6d:635a:775d:1647:6e3f,2001:db8:153:7d0b:8d53:6c75:65b9:e94,35082,25,UDP,SMTP,outbound,214.916,11,1117,51.18279850894346,5197.380539499077,0,0,0,0,879952,17,127,1,0,2,5.814166700043425
